round,delta_norm,theta_norm,relative_delta,applied_change,cumulative_drift,logits_diff,pred_change,entropy,entropy_before,loss_before,loss_after,loss,nan_count,inf_count,parameter_changed,hidden_mean,hidden_std,modulation_strength
80,1.2059652209281921,16.249555110931396,0.07421527621497252,0.2894316390156746,21.58800458908081,0.0017521254485473037,0.0,4.338449954986572,4.338423728942871,4.607469081878662,4.607474327087402,4.607474327087402,0,0,True,0.361919105052948,7.774101257324219,0.05000000074505806
81,1.2047929167747498,16.282402992248535,0.07399355717631532,0.2891502883285284,21.861304372549057,0.001268267398700118,0.0,5.0766706466674805,5.076661109924316,3.765986680984497,3.7659859657287598,3.7659859657287598,0,0,True,0.39723166823387146,8.338459968566895,0.05000000074505806
82,1.2051420211791992,16.315340995788574,0.07386557360279988,0.2892340626567602,22.134952127933502,0.0015418052207678556,0.0,4.402406215667725,4.402392864227295,3.8263392448425293,3.8263444900512695,3.8263444900512695,0,0,True,0.4042179584503174,8.411705017089844,0.05000000074505806
83,1.2047827243804932,16.348352909088135,0.0736944407231843,0.2891478557139635,22.408714145421982,0.0012185195228084922,0.0,5.042830944061279,5.042811870574951,4.486428260803223,4.486433029174805,4.486433029174805,0,0,True,0.38270074129104614,7.973971366882324,0.05000000074505806
84,1.2038484811782837,16.38140320777893,0.07348872779143975,0.2889236300252378,22.682384222745895,0.0017755781300365925,0.0,4.247984886169434,4.247960090637207,3.724569320678711,3.7245755195617676,3.7245755195617676,0,0,True,0.4003600776195526,8.340332984924316,0.05000000074505806
85,1.204490602016449,16.414541959762573,0.07337948295901589,0.2890777592547238,22.956426858901978,0.00168066774494946,0.0,4.422311782836914,4.422296524047852,3.8269848823547363,3.8269948959350586,3.8269948959350586,0,0,True,0.4017220735549927,8.317767143249512,0.05000000074505806
86,1.2067323327064514,16.44774055480957,0.07336766583137673,0.28961577685549855,23.230852335691452,0.007030073087662458,0.0,2.7769856452941895,2.7769620418548584,2.739828586578369,2.739863395690918,2.739863395690918,0,0,True,0.3006627559661865,6.093398094177246,0.05000000074505806
87,1.2066336870193481,16.481034755706787,0.07321346656353203,0.2895920933224261,23.505542278289795,0.007282025180757046,0.0013020833721384406,2.826984167098999,2.826976776123047,2.688807249069214,2.6888442039489746,2.6888442039489746,0,0,True,0.31050825119018555,6.3274126052856445,0.05000000074505806
88,1.2062103748321533,16.51436686515808,0.07304006170391002,0.2894904790446162,23.780220329761505,0.005157955922186375,0.0,2.9007956981658936,2.900815963745117,2.7177395820617676,2.717801570892334,2.717801570892334,0,0,True,0.2939072847366333,5.9375834465026855,0.05000000074505806
89,1.2065160274505615,16.54776954650879,0.07291109681335328,0.28956382628530264,24.055039823055267,0.007847938686609268,0.0,2.72918701171875,2.729163646697998,2.4916954040527344,2.4917469024658203,2.4917469024658203,0,0,True,0.2732012867927551,5.59161901473999,0.05000000074505806
90,1.2059575915336609,16.581252574920654,0.07273018646116557,0.28942980943247676,24.330063343048096,0.005804598797112703,0.0,3.113058090209961,3.1130666732788086,2.8267548084259033,2.826808452606201,2.826808452606201,0,0,True,0.2922346591949463,5.829758167266846,0.05000000074505806
91,1.2040866017341614,16.614784479141235,0.07247079269946671,0.28898079600185156,24.604918718338013,0.004042865242809057,0.0,4.020749092102051,4.020747184753418,3.3318209648132324,3.331854820251465,3.331854820251465,0,0,True,0.33879122138023376,7.1794939041137695,0.05000000074505806
92,1.2041885256767273,16.648410320281982,0.07233054102527257,0.2890052408911288,24.880057632923126,0.00322781247086823,0.0,4.242785453796387,4.242791175842285,3.8429484367370605,3.842963933944702,3.842963933944702,0,0,True,0.34030458331108093,7.151341438293457,0.05000000074505806
93,1.2042492032051086,16.682088613510132,0.07218815527870036,0.2890198053792119,25.1552854180336,0.003456695470958948,0.0,4.353682518005371,4.35371732711792,3.7765722274780273,3.776596784591675,3.776596784591675,0,0,True,0.33233842253685,6.95892333984375,0.05000000074505806
94,1.20376855134964,16.715794801712036,0.07201383874527759,0.28890445502474904,25.430436670780182,0.00526247126981616,0.0,3.688964605331421,3.6889560222625732,3.553384304046631,3.5534305572509766,3.5534305572509766,0,0,True,0.3381745219230652,7.147563457489014,0.05000000074505806
95,1.2030728459358215,16.749581575393677,0.07182703881410511,0.28873749263584614,25.70573079586029,0.0038146236911416054,0.0,4.1737213134765625,4.173722267150879,3.735167980194092,3.7352001667022705,3.7352001667022705,0,0,True,0.3515375554561615,7.328575134277344,0.05000000074505806
96,1.20209801197052,16.783451318740845,0.07162400564347725,0.28850352205336094,25.981135666370392,0.0017837596824392676,0.0,4.345198631286621,4.345185279846191,4.7443084716796875,4.744318008422852,4.744318008422852,0,0,True,0.36131954193115234,7.726580619812012,0.05000000074505806
97,1.2023279070854187,16.817392826080322,0.07149312140826342,0.28855869034305215,26.256709098815918,0.0017272868426516652,0.0,4.158587455749512,4.158537864685059,4.885733127593994,4.885737895965576,4.885737895965576,0,0,True,0.3609590530395508,7.818799018859863,0.05000000074505806
98,1.2020720839500427,16.851388216018677,0.07133371260222769,0.28849730221554637,26.532321453094482,0.0016620262758806348,0.0,4.535564422607422,4.535526752471924,4.886776924133301,4.886794090270996,4.886794090270996,0,0,True,0.37219735980033875,8.037593841552734,0.05000000074505806
99,1.2021886110305786,16.885464668273926,0.07119665550509659,0.28852525539696217,26.808173716068268,0.0019810788799077272,0.0,4.141997337341309,4.1419854164123535,4.612560272216797,4.612603664398193,4.612603664398193,0,0,True,0.3571123480796814,7.661606788635254,0.05000000074505806
100,1.201841950416565,16.91960048675537,0.07103252534581797,0.28844207152724266,27.084070563316345,0.001671309000812471,0.0,4.232475280761719,4.2324724197387695,4.314414024353027,4.314422607421875,4.314422607421875,0,0,True,0.36107882857322693,7.801654815673828,0.05000000074505806
101,1.2015259861946106,16.953801155090332,0.07087059563830356,0.2883662320673466,27.360055446624756,0.001913161133415997,0.0,5.033414840698242,5.033426284790039,4.407047271728516,4.407060623168945,4.407060623168945,0,0,True,0.3840143084526062,7.941171646118164,0.05000000074505806
102,1.2017086744308472,16.98806667327881,0.07073840111076686,0.28841008385643363,27.636171340942383,0.0016048857942223549,0.0,4.940162658691406,4.940135955810547,4.134507179260254,4.134509563446045,4.134509563446045,0,0,True,0.4070148169994354,8.489545822143555,0.05000000074505806
103,1.2013024687767029,17.022387266159058,0.07057191509001343,0.28831258602440357,27.912317276000977,0.0014988271286711097,0.0,4.590069770812988,4.590035915374756,3.9957799911499023,3.9957871437072754,3.9957871437072754,0,0,True,0.399048775434494,8.361786842346191,0.05000000074505806
