round,probe_loss,probe_entropy,output_drift_vs_0,output_drift_vs_prev,delta_norm,theta_norm,applied_change,gross_drift,net_drift,drift_ratio,nan_count,inf_count,layer_drift_sum,delta_cosine,param_hash,hash_changed
20,3.220519452139359,4.568094372749329,0.014662466244772077,0.01821440877392888,1.2012690901756287,13.994142472743988,0.2883045715279877,6.206027186475694,1.3805176224559546,0.22244788509212227,0,0,1.3805176224559546,-0.007233568467199802,,
21,3.2205137782204516,4.568149209022522,0.013800962711684406,0.01793289091438055,1.2020384073257446,13.997043266892433,0.288489215541631,6.494516402017325,1.4093628488481045,0.21700812833579286,0,0,1.4093628488481045,0.001126270741224289,,
22,3.2205101469123507,4.568186342716217,0.013608712004497647,0.018010049127042294,1.2031273245811462,13.999969139695168,0.28875055722892284,6.783266959246248,1.4381472691893578,0.21201395696638653,0,0,1.4381472691893578,0.00721294479444623,,
23,3.220507001940156,4.568155109882355,0.013777163694612682,0.01797574572265148,1.2093197703361511,14.002748638391495,0.29023675061762333,7.073503709863871,1.4667644575238228,0.20736038569941503,0,0,1.4667644575238228,0.005768985021859407,,
24,3.2204882942189577,4.568048000335693,0.013913798378780484,0.01792240748181939,1.207578957080841,14.005332604050636,0.2898189383558929,7.363322648219764,1.494118545204401,0.20291363241639726,0,0,1.494118545204401,-0.004683611448854208,,
25,3.2204903368297644,4.56803572177887,0.014766425010748208,0.017985012382268906,1.2104008197784424,14.008165776729584,0.2904961886815727,7.653818836901337,1.5228140577673912,0.19896134076563882,0,0,1.5228140577673912,-0.005170730408281088,,
26,3.220499642056773,4.568033576011658,0.014580750023014843,0.018154948484152555,1.2287225723266602,14.010934844613075,0.29489339841529727,7.948712235316634,1.5515413507819176,0.1951940521746561,0,0,1.5515413507819176,0.004011762328445911,,
27,3.2205169231926463,4.5679866671562195,0.01518900494556874,0.018166773486882448,1.2302539944648743,14.014371290802956,0.29526094580069184,8.243973181117326,1.5823124423623085,0.19193566107012272,0,0,1.5823124423623085,-0.006386477965861559,,
28,3.2205220783532535,4.568040907382965,0.015297061414457858,0.01806049281731248,1.2310922741889954,14.017500549554825,0.29546214640140533,8.539435327518731,1.612346913665533,0.18881188882237687,0,0,1.612346913665533,-0.004655731376260519,,
29,3.220518155243609,4.567983865737915,0.015833297511562705,0.01794642163440585,1.2333885431289673,14.020054414868355,0.29601323837414384,8.835448565892875,1.6366131901741028,0.18523260907110808,0,0,1.6366131901741028,0.010175027884542942,,
30,3.220523991274485,4.567964613437653,0.015370380831882358,0.018219237681478262,1.234111726284027,14.02268934249878,0.2961868289858103,9.131635394878685,1.6630202271044254,0.1821163630817891,0,0,1.6630202271044254,-0.0026483454275876284,,
31,3.2205182525107903,4.567939043045044,0.015505252406001091,0.017867179587483406,1.2311782836914062,14.0252515822649,0.295482789631933,9.427118184510618,1.689258486032486,0.17919139794045127,0,0,1.689258486032486,0.00021500034199561924,,
32,3.220519063070634,4.5678887367248535,0.01603701990097761,0.017959430813789368,1.2302313446998596,14.02790653705597,0.29525552643463016,9.722373710945249,1.7143988572061062,0.1763354205646194,0,0,1.7143988572061062,-0.0068772113882005215,,
33,3.220529924572543,4.56791228055954,0.01585927465930581,0.017885763198137283,1.2350987792015076,14.031053692102432,0.2964237234555185,10.018797434400767,1.7403519786894321,0.17370867013575372,0,0,1.7403519786894321,-0.0009183432557620108,,
34,3.220524736989542,4.567984104156494,0.015876427059993148,0.01786765269935131,1.234906256198883,14.033314853906631,0.2963774870149791,10.315174921415746,1.7622735425829887,0.17084281711249427,0,0,1.7622735425829887,-0.0035173287615180016,,
35,3.220515626296896,4.568039536476135,0.016356286825612187,0.017789896111935377,1.239417552947998,14.035642176866531,0.2974602095782757,10.612635130994022,1.7857929430902004,0.16827045507996916,0,0,1.7857929430902004,-0.00679824547842145,,
36,3.220533944949369,4.567996859550476,0.016696908976882696,0.01806031260639429,1.2331295013427734,14.038232997059822,0.29595107585191727,10.90858620684594,1.812668815255165,0.1661689957693524,0,0,1.812668815255165,-0.0005605455953627825,,
37,3.220523504938579,4.567964434623718,0.017082967795431614,0.01787767605856061,1.2374723553657532,14.040949553251266,0.29699335247278214,11.205579559318721,1.8371276706457138,0.16394758173108218,0,0,1.8371276706457138,0.004594429861754179,,
38,3.2205165665463147,4.567928850650787,0.018431282369419932,0.01822878234088421,1.2389461398124695,14.043224111199379,0.29734706971794367,11.502926629036665,1.8597298339009285,0.161674493272545,0,0,1.8597298339009285,0.004411034751683474,,
39,3.220519387294572,4.568016886711121,0.018376629799604416,0.01812389027327299,1.2398980855941772,14.045364320278168,0.29757555155083537,11.8005021805875,1.8818464986979961,0.15947173009243468,0,0,1.8818464986979961,-0.003902488388121128,,
40,3.2205165989687083,4.567957043647766,0.018421277636662126,0.017873736564069986,1.2419190406799316,14.047861605882645,0.29806056758388877,12.098562748171389,1.9085633233189583,0.15775124393244694,0,0,1.9085633233189583,-0.0006169460830278695,,
41,3.2205253530150233,4.5679848194122314,0.018517251359298825,0.01797672128304839,1.244066298007965,14.049711644649506,0.2985759084112942,12.397138656582683,1.9303124025464058,0.1557062848144628,0,0,1.9303124025464058,0.005987153388559818,,
42,3.2205395216010957,4.567986726760864,0.018440415151417255,0.018072333186864853,1.2435375452041626,14.052564233541489,0.29844899009913206,12.695587646681815,1.9567405469715595,0.15412760727801594,0,0,1.9567405469715595,0.003686551470309496,,
43,3.2205390028427954,4.5680007338523865,0.018354623578488827,0.018222535960376263,1.2491072416305542,14.055186316370964,0.2997857150621712,12.995373361743987,1.98203569278121,0.1525185646928629,0,0,1.98203569278121,0.005313691217452288,,
44,3.2205363117841137,4.568021774291992,0.01882114610634744,0.01842231908813119,1.2528088092803955,14.057473957538605,0.3006740999408066,13.296047461684793,2.0041442029178143,0.15073232918978394,0,0,2.0041442029178143,0.001207689754664898,,
45,3.2205277198497675,4.5679627656936646,0.019434174057096243,0.018003037199378014,1.2523986101150513,14.05939482152462,0.3005756684578955,13.596623130142689,2.022996511310339,0.14878668710213488,0,0,2.022996511310339,0.004992082715034485,,
46,3.2205342043285192,4.568044424057007,0.019103039521723986,0.018185248598456383,1.2672569751739502,14.061559692025185,0.3041416727937758,13.900764802936465,2.0426560156047344,0.14694558497767599,0,0,2.0426560156047344,-0.015119633637368679,,
47,3.2205493455864045,4.568100214004517,0.018909238511696458,0.01822350826114416,1.2701264023780823,14.063768923282623,0.3048303360119462,14.20559513894841,2.062833394855261,0.14521274009839336,0,0,2.062833394855261,-0.0003604351368267089,,
48,3.220547659621929,4.568077564239502,0.01779576879926026,0.018157158978283405,1.2699105739593506,14.066080078482628,0.30477854469791055,14.510373683646321,2.0847634114325047,0.14367399881520346,0,0,2.0847634114325047,-0.009901374578475952,,
49,3.220548145957835,4.5681586265563965,0.017783396178856492,0.017978853080421686,1.2708368301391602,14.068468734622002,0.3050008420832455,14.815374525729567,2.107984237372875,0.1422835604804886,0,0,2.107984237372875,0.016132233664393425,,
50,3.220558910192563,4.568129539489746,0.01750884880311787,0.01794661022722721,1.2727156281471252,14.07030962407589,0.30545174330472946,15.120826269034296,2.131381966173649,0.140956712831119,0,0,2.131381966173649,0.002729354426264763,b9f28f4f04b0880b97ba368084c24893a24f94f1d78132ac50bd6c4c98cddab1,True
51,3.220559461373257,4.568093538284302,0.01746131619438529,0.017783189192414284,1.2687745690345764,14.072403535246849,0.30450588278472424,15.42533215181902,2.1507397405803204,0.13942907156955817,0,0,2.1507397405803204,-0.003952024970203638,,
52,3.220553819876743,4.568151652812958,0.017558743944391608,0.017812011297792196,1.2700355052947998,14.07467582821846,0.3048085095360875,15.730140661355108,2.171925652772188,0.13807414056429326,0,0,2.171925652772188,-0.011034214869141579,,
53,3.220565491938496,4.568108260631561,0.017839135136455297,0.018208983354270458,1.271711528301239,14.076690346002579,0.3052107645198703,16.03535142587498,2.191632639616728,0.136675061332309,0,0,2.191632639616728,0.0007503812666982412,,
54,3.220564130197958,4.568160116672516,0.01788804493844509,0.01780482428148389,1.2733388543128967,14.078952923417091,0.30560131231322885,16.340952738188207,2.214179489761591,0.13549880017625895,0,0,2.214179489761591,0.004290483426302671,,
55,3.220564421999502,4.568195819854736,0.017770600970834494,0.01804829901084304,1.2729296684265137,14.080788224935532,0.30550312902778387,16.64645586721599,2.2337837368249893,0.13418974913597875,0,0,2.2337837368249893,-0.005847841035574675,,
56,3.220547919001079,4.5682061314582825,0.018344963435083628,0.01822938770055771,1.2723113894462585,14.08284018933773,0.30535472044721246,16.951810587663203,2.254876282066107,0.1330168403195217,0,0,2.254876282066107,-0.003825476625934243,,
57,3.220545617011122,4.568167746067047,0.018562959041446447,0.01801213249564171,1.2740132808685303,14.085125893354416,0.30576316406950355,17.257573751732707,2.277017656713724,0.13194309289768927,0,0,2.277017656713724,0.010380886495113373,,
58,3.2205349824659693,4.56808465719223,0.018899049842730165,0.018526792991906404,1.2737727165222168,14.08746862411499,0.3057054481469095,17.563279199879616,2.2957568876445293,0.13071345399213005,0,0,2.2957568876445293,0.009017220698297024,,
59,3.2205376735246514,4.568087220191956,0.019173305481672287,0.017906399443745613,1.2757766842842102,14.089623227715492,0.3061864054761827,17.8694656053558,2.3192399702966213,0.12978787511146242,0,0,2.3192399702966213,0.0036561163142323494,,
60,3.2205250612134795,4.568080425262451,0.019096263917163014,0.018213334493339062,1.2772900462150574,14.091047823429108,0.3065496110357344,18.176015216391534,2.3345171585679054,0.12843943684985792,0,0,2.3345171585679054,0.0039880103431642056,,
61,3.220540526695302,4.568162441253662,0.01856913394294679,0.01815450517460704,1.277829349040985,14.092826321721077,0.30667904391884804,18.48269426031038,2.35342675819993,0.12733136874170647,0,0,2.35342675819993,-0.0025653012562543154,,
62,3.220558002365538,4.568118989467621,0.018761852523311973,0.018116545397788286,1.278759241104126,14.095212176442146,0.30690221348777413,18.789596473798156,2.3742176853120327,0.12635809867565392,0,0,2.3742176853120327,-0.003983206115663052,,
63,3.2205694474705346,4.568116784095764,0.018712038174271584,0.01792547944933176,1.280202031135559,14.097613647580147,0.30724846897646785,19.096844942774624,2.3959132619202137,0.12546120938299773,0,0,2.3959132619202137,-0.0002129415952367708,,
64,3.2205662052311586,4.568113088607788,0.019092944217845798,0.0178546286188066,1.282062292098999,14.100076422095299,0.30769495526328683,19.40453989803791,2.416412092745304,0.12452818286041996,0,0,2.416412092745304,0.005312139168381691,,
65,3.220569512315322,4.56810075044632,0.019190779887139797,0.01811721036210656,1.2816015481948853,14.102227792143822,0.3075843737460673,19.712124271783978,2.4346020072698593,0.12350784591768407,0,0,2.4346020072698593,-0.008140609599649906,,
